age,monthly_income,debt_ratio,credit_utilization,transaction_count_30d,avg_transaction_amount,employment_type,education_level,region,device_type,last_payment_delay_days,internal_score_v2,target
56.7,22407.11,0.154,0.484,43,91.84,self_employed,bachelor,suburban,mobile,1.02,634.1,0
54.5,50590.25,0.164,0.0,50,55.46,self_employed,bachelor,urban,mobile,5.07,653.3,0
53.5,29156.66,0.024,0.304,39,72.01,unemployed,high_school,suburban,desktop,0.64,694.1,0
56.3,32181.39,0.215,0.587,43,87.5,full_time,master,suburban,tablet,2.6,550.4,0
46.9,54640.39,0.364,0.392,45,106.96,contract,bachelor,suburban,tablet,0.21,596.1,0
32.5,61514.41,0.494,0.671,34,57.04,full_time,master,urban,mobile,6.23,505.7,0
40.0,21865.33,0.519,0.487,48,87.54,full_time,bachelor,suburban,mobile,3.99,524.1,0
41.4,19886.79,0.211,0.713,41,139.56,contract,bachelor,urban,desktop,6.29,539.8,0
41.3,19039.77,0.386,0.609,33,91.56,full_time,master,urban,mobile,0.58,519.6,0
45.2,41751.95,0.139,0.325,48,44.73,contract,bachelor,suburban,desktop,5.1,602.0,0
49.7,37881.6,0.31,0.333,52,57.25,self_employed,bachelor,suburban,desktop,2.47,580.0,0
31.5,14662.46,0.638,0.626,56,92.63,contract,master,suburban,mobile,2.67,465.6,1
43.5,45565.96,0.299,0.458,41,29.97,full_time,bachelor,urban,mobile,1.35,607.9,0
50.2,27411.8,0.273,0.124,36,105.31,full_time,high_school,urban,mobile,6.66,614.9,0
35.1,110019.95,0.387,0.352,44,84.91,full_time,high_school,rural,mobile,3.95,587.4,0
37.7,50588.0,0.066,0.495,35,32.77,full_time,bachelor,rural,mobile,6.66,581.4,0
48.8,36213.5,0.413,0.102,48,108.68,self_employed,bachelor,suburban,mobile,0.62,657.8,0
39.8,82622.52,0.423,0.265,41,147.21,full_time,high_school,urban,mobile,3.1,581.5,0
63.6,59953.72,0.298,0.054,45,66.03,self_employed,bachelor,urban,mobile,0.35,675.3,0
57.2,37908.82,0.484,0.331,44,96.94,full_time,high_school,urban,mobile,0.23,633.8,0
27.3,28835.59,0.293,0.5,47,53.75,unemployed,bachelor,rural,mobile,0.23,607.2,0
30.7,38170.18,0.344,0.388,41,23.71,unemployed,master,suburban,mobile,1.73,668.0,0
42.7,20578.51,0.499,0.369,52,104.78,full_time,bachelor,rural,mobile,1.21,537.5,0
52.5,35335.78,0.269,0.472,31,133.77,full_time,high_school,suburban,mobile,4.29,558.1,0
36.1,51950.75,0.529,0.51,38,34.08,full_time,bachelor,urban,mobile,0.93,567.1,0
61.7,31454.44,0.419,0.375,38,98.17,full_time,high_school,urban,mobile,16.09,562.4,0
53.7,34324.47,0.158,0.611,43,45.8,full_time,bachelor,rural,mobile,2.96,562.6,0
30.4,77254.4,0.381,0.246,50,94.17,self_employed,high_school,rural,mobile,2.58,586.4,0
57.7,34697.34,0.322,0.544,44,87.09,full_time,bachelor,urban,tablet,1.75,600.1,0
55.2,52531.58,0.454,0.669,43,85.29,contract,bachelor,urban,desktop,1.24,526.1,0
39.3,57431.78,0.32,0.348,32,74.98,full_time,high_school,suburban,mobile,2.29,562.3,0
48.7,51805.99,0.314,0.386,37,121.13,self_employed,bachelor,urban,desktop,2.5,624.4,1
56.3,38997.58,0.144,0.2,42,112.09,full_time,master,rural,desktop,1.04,639.0,0
39.4,67904.87,0.433,0.339,37,66.7,full_time,master,urban,mobile,0.7,606.0,0
45.0,82837.14,0.188,0.055,46,54.7,self_employed,bachelor,urban,mobile,9.42,617.9,0
43.2,71217.64,0.189,0.547,32,81.91,contract,high_school,suburban,mobile,0.42,600.6,0
48.7,59811.95,0.117,0.214,44,68.4,full_time,master,suburban,mobile,0.9,694.8,0
41.5,31366.02,0.222,0.194,44,70.54,full_time,bachelor,urban,tablet,1.37,637.7,0
46.8,37809.97,0.485,0.144,38,60.66,full_time,master,rural,mobile,0.31,577.5,0
35.2,39933.44,0.188,0.306,44,102.35,full_time,high_school,urban,mobile,2.62,617.5,0
36.8,24510.53,0.708,0.335,43,111.39,full_time,high_school,suburban,mobile,0.81,508.4,0
18.0,22377.83,0.441,0.644,45,54.58,full_time,high_school,rural,desktop,0.4,507.1,0
40.9,34955.4,0.48,0.399,47,96.92,contract,master,rural,mobile,2.61,501.5,0
47.8,26003.24,0.261,0.099,45,80.11,full_time,phd,urban,mobile,1.74,644.5,0
50.6,58751.85,0.395,0.062,46,119.06,contract,bachelor,urban,desktop,3.75,633.4,0
44.6,21987.75,0.274,0.461,41,48.58,full_time,bachelor,rural,tablet,0.27,589.5,1
41.1,33431.38,0.334,0.089,43,62.09,unemployed,bachelor,urban,desktop,3.75,657.3,0
35.3,22661.12,0.312,0.277,48,92.29,full_time,bachelor,suburban,mobile,0.42,637.1,0
46.3,37317.02,0.366,0.515,52,111.32,contract,bachelor,suburban,mobile,1.67,558.0,0
58.9,30959.79,0.361,0.413,55,91.6,self_employed,phd,urban,mobile,2.15,577.3,0
42.4,73204.1,0.457,0.446,42,69.35,full_time,high_school,suburban,mobile,2.47,562.1,0
22.7,39950.33,0.267,0.348,52,149.03,self_employed,master,urban,mobile,0.02,603.0,0
40.9,24731.19,0.709,0.694,77,155.03,full_time,high_school,urban,mobile,11.12,425.7,1
37.4,42386.86,0.268,0.18,35,60.43,full_time,high_school,urban,mobile,4.32,627.1,0
32.5,26856.2,0.563,0.449,42,55.77,full_time,bachelor,rural,mobile,0.66,524.4,0
41.9,44504.07,0.182,0.098,44,84.33,contract,bachelor,urban,mobile,0.01,700.7,0
35.3,41598.14,0.521,0.067,37,76.64,unemployed,high_school,suburban,mobile,0.61,624.3,0
47.8,80154.56,0.303,0.514,50,116.35,contract,high_school,suburban,mobile,3.99,564.1,0
61.8,17381.32,0.224,0.363,47,24.96,full_time,high_school,suburban,mobile,4.61,598.9,0
28.7,45141.97,0.346,0.587,36,125.08,full_time,bachelor,urban,mobile,9.0,525.4,0
41.2,47887.28,0.19,0.162,45,92.31,contract,bachelor,urban,mobile,6.69,679.3,0
50.0,74189.56,0.401,0.416,41,75.84,full_time,high_school,rural,mobile,4.58,521.0,0
48.3,21893.53,0.579,0.594,28,82.98,self_employed,bachelor,suburban,mobile,0.7,502.2,0
32.8,15081.04,0.669,0.969,59,143.03,contract,bachelor,urban,tablet,15.16,398.5,0
55.0,32516.98,0.208,0.563,41,101.5,full_time,master,rural,mobile,1.41,579.0,0
52.4,52850.85,0.22,0.602,41,83.57,unemployed,bachelor,urban,mobile,0.7,592.7,0
39.7,34506.38,0.276,0.235,47,106.45,self_employed,high_school,urban,desktop,0.06,636.5,0
41.1,19850.72,0.161,0.373,45,83.57,full_time,bachelor,suburban,mobile,0.58,618.9,0
58.6,19762.59,0.377,0.485,43,120.68,full_time,phd,suburban,desktop,0.09,566.1,0
42.1,121459.82,0.277,0.281,51,64.61,self_employed,bachelor,suburban,mobile,1.25,619.7,0
30.3,50241.65,0.338,0.494,38,74.24,full_time,bachelor,urban,desktop,0.31,587.9,0
25.9,63008.31,0.402,0.138,41,66.89,full_time,high_school,urban,mobile,1.46,625.4,0
45.2,78715.56,0.234,0.337,43,99.26,full_time,high_school,urban,tablet,3.25,617.9,0
42.7,55196.7,0.297,0.34,48,139.76,full_time,high_school,suburban,mobile,3.82,604.6,0
45.4,45551.86,0.272,0.421,48,86.02,self_employed,high_school,rural,mobile,5.85,578.5,0
35.0,69478.45,0.524,0.261,44,80.63,unemployed,high_school,urban,mobile,3.19,514.5,0
37.4,62715.68,0.056,0.106,37,178.56,full_time,bachelor,rural,mobile,0.93,693.3,0
54.2,44486.81,0.326,0.059,58,117.11,self_employed,high_school,urban,desktop,0.53,683.1,0
31.9,34580.29,0.384,0.368,34,110.82,contract,high_school,rural,mobile,2.09,570.4,0
44.7,47030.82,0.525,0.38,34,49.58,self_employed,bachelor,suburban,mobile,3.43,519.8,0
56.2,48182.07,0.206,0.17,43,110.04,full_time,bachelor,suburban,mobile,2.21,666.8,0
47.4,31461.66,0.359,0.327,39,32.49,full_time,master,suburban,mobile,2.76,564.7,0
56.3,41299.01,0.418,0.061,42,40.13,self_employed,bachelor,rural,mobile,2.53,619.7,0
47.9,49499.02,0.338,0.407,39,94.37,full_time,bachelor,suburban,mobile,0.69,565.0,0
55.0,46671.68,0.345,0.208,48,88.2,full_time,bachelor,suburban,desktop,1.35,628.2,0
29.0,53053.48,0.098,0.452,57,54.56,full_time,master,suburban,tablet,0.58,623.6,0
47.3,40167.42,0.167,0.58,51,61.77,full_time,bachelor,urban,mobile,0.42,590.7,1
31.1,28067.64,0.511,0.654,57,184.74,contract,high_school,urban,desktop,4.08,522.5,1
40.0,22854.19,0.26,0.337,36,61.01,full_time,high_school,urban,desktop,3.59,625.1,0
39.2,24452.32,0.538,0.424,49,47.91,unemployed,bachelor,rural,mobile,4.39,568.1,0
46.6,23097.44,0.275,0.63,41,51.17,full_time,bachelor,urban,mobile,2.11,602.3,0
40.4,31790.27,0.256,0.408,38,153.3,self_employed,high_school,urban,mobile,1.22,626.7,0
41.1,35538.73,0.546,0.55,45,50.89,full_time,bachelor,suburban,mobile,2.53,518.3,0
55.5,46155.79,0.516,0.458,37,81.91,self_employed,bachelor,urban,mobile,0.31,565.2,0
27.1,64288.08,0.327,0.286,40,114.09,full_time,high_school,urban,desktop,6.5,606.9,0
52.9,47132.72,0.141,0.664,41,151.14,full_time,high_school,urban,mobile,1.08,545.4,0
43.8,72061.95,0.441,0.421,37,58.86,contract,bachelor,urban,mobile,0.37,547.6,0
61.1,56571.69,0.231,0.201,37,95.16,self_employed,bachelor,urban,mobile,1.7,661.6,0
36.0,55029.54,0.438,0.489,40,148.6,self_employed,phd,urban,mobile,0.4,538.7,0
53.1,25755.75,0.293,0.515,35,26.97,full_time,bachelor,urban,mobile,3.47,566.3,0
53.3,20447.46,0.487,0.614,41,107.35,full_time,high_school,urban,mobile,1.92,537.4,0
44.4,33415.04,0.205,0.563,47,118.86,self_employed,bachelor,urban,mobile,5.6,558.9,0
34.2,49327.8,0.22,0.703,44,137.64,self_employed,bachelor,urban,desktop,6.04,553.4,0
45.6,24136.49,0.441,0.232,46,84.99,contract,bachelor,urban,mobile,0.4,602.6,0
52.8,98081.53,0.337,0.341,46,61.01,contract,master,suburban,tablet,3.67,595.5,0
48.9,69938.84,0.178,0.255,39,71.12,full_time,high_school,suburban,tablet,3.03,626.1,0
55.7,89478.9,0.129,0.371,52,97.55,full_time,bachelor,urban,mobile,0.42,634.5,0
47.7,32774.28,0.264,0.573,51,58.87,self_employed,bachelor,suburban,desktop,1.74,567.6,0
52.6,43436.4,0.184,0.131,46,74.64,full_time,bachelor,urban,tablet,3.16,635.1,0
68.1,36554.83,0.359,0.087,48,88.91,full_time,high_school,urban,desktop,6.84,626.1,1
52.2,38240.48,0.309,0.616,45,66.5,self_employed,high_school,suburban,desktop,0.6,566.5,0
43.6,16135.4,0.098,0.51,44,94.37,unemployed,bachelor,urban,mobile,1.76,618.5,1
49.6,25176.14,0.2,0.331,39,48.23,full_time,bachelor,rural,mobile,0.47,593.2,0
46.6,14737.92,0.422,1.0,58,135.99,unemployed,high_school,urban,mobile,5.03,463.5,1
46.8,64541.42,0.166,0.268,48,37.74,full_time,phd,suburban,mobile,1.62,643.3,0
38.7,67426.92,0.366,0.158,45,79.62,full_time,phd,urban,mobile,2.41,639.6,0
30.4,44391.25,0.423,0.491,43,45.3,unemployed,master,suburban,mobile,0.4,537.4,0
45.4,43982.04,0.318,0.203,37,140.92,contract,master,rural,mobile,7.55,647.9,0
46.0,68767.2,0.532,0.109,28,79.12,full_time,master,urban,mobile,1.28,605.6,0
71.0,46668.7,0.289,0.63,49,133.62,self_employed,bachelor,urban,mobile,0.74,538.0,0
56.5,23414.49,0.195,0.181,42,130.65,self_employed,high_school,urban,desktop,7.97,630.5,1
42.7,56405.9,0.261,0.11,47,90.7,unemployed,master,urban,tablet,2.71,613.5,0
51.8,28401.69,0.327,0.137,32,114.01,unemployed,high_school,urban,mobile,5.27,616.9,0
37.2,40767.73,0.284,0.223,55,78.16,full_time,phd,urban,tablet,1.01,652.0,0
42.0,33668.43,0.596,0.549,47,94.14,contract,bachelor,urban,tablet,1.92,519.5,0
51.9,95925.27,0.244,0.286,37,53.2,full_time,high_school,suburban,mobile,1.29,588.2,0
58.0,49049.83,0.587,0.204,41,98.36,unemployed,bachelor,rural,mobile,14.88,498.4,0
40.1,41840.92,0.097,0.49,37,58.69,unemployed,bachelor,suburban,mobile,1.81,611.7,0
48.8,52553.55,0.465,0.33,35,94.85,contract,bachelor,rural,tablet,0.7,588.2,0
45.3,22518.03,0.18,0.513,40,53.25,full_time,master,rural,mobile,0.12,599.6,0
41.0,16305.08,0.229,0.206,36,121.07,full_time,master,rural,mobile,0.56,678.0,0
36.2,41157.46,0.597,0.103,42,109.93,full_time,bachelor,urban,mobile,1.77,583.6,0
41.7,10310.05,0.488,0.896,72,82.07,contract,phd,rural,mobile,20.58,457.1,1
30.2,9293.92,0.632,0.788,71,102.32,full_time,high_school,urban,mobile,0.61,488.5,1
44.1,37572.05,0.649,0.551,43,78.27,full_time,high_school,suburban,desktop,1.67,497.3,0
24.0,23720.83,0.258,0.478,47,30.79,full_time,high_school,urban,mobile,0.46,583.2,0
59.2,40394.6,0.261,0.568,30,130.42,unemployed,bachelor,urban,mobile,0.01,588.5,0
75.0,49785.6,0.323,0.616,53,82.64,contract,bachelor,urban,mobile,5.74,549.8,0
45.6,32019.6,0.475,0.155,49,101.04,contract,master,urban,mobile,1.17,600.7,0
39.5,46479.73,0.494,0.334,54,126.92,self_employed,high_school,urban,mobile,1.45,589.0,0
41.3,85385.49,0.143,0.202,36,80.62,full_time,high_school,suburban,mobile,2.43,644.4,0
52.8,84075.64,0.295,0.415,39,144.87,full_time,bachelor,suburban,mobile,4.23,604.6,0
31.3,52863.97,0.4,0.393,51,55.5,full_time,high_school,suburban,mobile,0.86,563.4,0
36.5,72028.33,0.325,0.217,36,103.38,self_employed,bachelor,rural,tablet,1.58,646.2,0
41.7,17203.46,0.389,0.176,42,86.67,contract,bachelor,suburban,mobile,1.86,583.1,0
67.8,29869.51,0.319,0.263,38,93.61,contract,bachelor,suburban,desktop,0.82,575.1,0
28.1,23247.24,0.474,0.169,43,41.22,full_time,bachelor,rural,mobile,4.45,593.3,0
34.6,27153.84,0.105,0.153,39,51.77,contract,master,urban,desktop,0.62,690.1,0
46.4,37481.08,0.642,0.121,45,73.22,full_time,high_school,suburban,mobile,2.17,604.8,0
33.5,29051.07,0.347,0.148,42,47.64,full_time,high_school,urban,desktop,4.72,649.7,0
50.4,33978.73,0.281,0.313,25,87.16,full_time,phd,rural,desktop,5.96,620.2,0
52.2,32525.73,0.427,0.451,48,64.07,full_time,high_school,rural,mobile,1.62,581.9,0
51.1,38210.4,0.479,0.259,50,138.41,contract,bachelor,urban,desktop,1.08,569.6,0
59.3,45489.46,0.398,0.27,44,79.69,contract,high_school,urban,tablet,0.72,574.1,0
60.3,29105.46,0.45,0.706,42,78.39,full_time,bachelor,urban,mobile,1.4,484.4,0
38.5,89940.3,0.377,0.518,32,90.55,self_employed,high_school,urban,desktop,0.4,571.9,0
41.7,18969.3,0.201,0.642,54,140.19,full_time,bachelor,urban,mobile,0.28,564.7,0
47.0,56313.37,0.235,0.574,44,33.5,unemployed,high_school,urban,mobile,0.61,640.3,0
58.1,43478.57,0.246,0.525,43,83.71,full_time,high_school,urban,mobile,1.03,608.2,0
51.4,48871.27,0.278,0.038,51,81.7,self_employed,bachelor,suburban,desktop,0.24,672.0,0
51.7,15709.97,0.242,0.49,48,110.59,full_time,bachelor,urban,mobile,2.02,578.8,0
22.7,70309.43,0.115,0.312,41,87.43,full_time,master,suburban,mobile,3.34,646.9,0
43.9,16477.1,0.324,0.393,34,112.36,full_time,high_school,rural,mobile,0.02,583.5,0
37.6,28488.61,0.429,0.354,51,135.98,full_time,high_school,rural,mobile,0.49,534.9,0
35.2,9370.72,0.531,0.2,36,124.02,full_time,high_school,urban,desktop,0.26,588.8,0
42.6,39277.58,0.317,0.286,38,54.81,full_time,bachelor,urban,desktop,14.03,621.8,0
44.4,37996.15,0.377,0.217,45,78.81,self_employed,bachelor,urban,mobile,2.28,643.9,0
68.1,57594.58,0.529,0.519,45,71.5,full_time,high_school,suburban,mobile,7.87,552.5,0
32.3,19264.51,0.216,0.525,44,127.01,full_time,high_school,rural,desktop,0.39,597.5,0
23.4,61459.8,0.303,0.557,42,100.09,unemployed,high_school,suburban,mobile,0.09,549.2,0
39.0,50443.32,0.22,0.421,56,73.91,unemployed,bachelor,suburban,mobile,1.42,604.5,1
47.6,26030.79,0.265,0.62,34,83.44,full_time,bachelor,suburban,mobile,0.19,569.5,0
64.1,36104.61,0.224,0.257,35,45.21,unemployed,master,suburban,mobile,5.29,600.3,0
42.1,46958.53,0.266,0.494,31,65.23,full_time,phd,suburban,desktop,0.53,599.4,0
43.7,33727.79,0.206,0.241,35,124.82,full_time,bachelor,urban,mobile,0.13,635.9,0
36.4,39760.22,0.524,0.474,35,109.85,contract,master,rural,mobile,1.85,552.9,0
53.3,62484.96,0.133,0.221,37,73.14,self_employed,bachelor,urban,mobile,2.18,665.2,1
51.3,46670.47,0.437,0.41,41,80.48,full_time,high_school,urban,desktop,0.02,551.1,0
35.8,31568.19,0.108,0.479,37,60.78,full_time,high_school,rural,mobile,2.01,631.7,0
45.3,19337.06,0.0,0.248,34,103.85,contract,bachelor,suburban,mobile,1.58,687.6,0
37.5,32006.38,0.174,0.342,46,49.19,full_time,bachelor,rural,mobile,0.74,638.7,0
46.8,64730.39,0.086,0.235,38,102.0,self_employed,master,urban,mobile,1.36,683.0,0
31.4,28616.52,0.738,0.837,66,54.62,contract,phd,urban,mobile,10.1,413.7,1
43.0,32855.98,0.353,0.486,46,72.59,unemployed,bachelor,suburban,mobile,0.29,595.0,0
54.3,30802.5,0.472,0.449,42,75.79,contract,high_school,suburban,desktop,1.41,566.3,0
54.4,53070.62,0.36,0.409,41,96.39,full_time,high_school,urban,desktop,1.97,557.9,0
54.7,35307.19,0.155,0.458,45,127.96,full_time,high_school,urban,mobile,0.6,617.6,0
58.2,13167.32,0.256,0.421,40,44.3,full_time,master,urban,desktop,2.82,581.0,0
47.4,82384.28,0.35,0.125,48,31.63,full_time,high_school,urban,desktop,0.66,656.1,0
39.0,34132.8,0.144,0.448,39,118.26,full_time,bachelor,suburban,mobile,0.21,624.3,0
43.9,106621.11,0.522,0.079,37,60.61,unemployed,high_school,rural,mobile,3.77,580.8,0
36.4,22264.75,0.379,0.13,39,83.76,contract,master,urban,mobile,3.22,599.9,0
38.3,19370.95,0.164,0.393,44,70.65,full_time,high_school,rural,mobile,2.33,601.9,0
63.1,25104.09,0.123,0.461,50,77.65,unemployed,master,rural,mobile,1.41,652.4,0
51.4,46556.43,0.311,0.409,48,44.25,full_time,master,urban,desktop,1.98,596.9,0
42.1,28342.93,0.136,0.428,36,147.04,full_time,high_school,suburban,tablet,1.09,623.0,0
50.8,38802.42,0.473,0.555,46,54.36,contract,high_school,suburban,mobile,3.74,506.1,0
32.5,48107.24,0.072,0.442,38,92.09,full_time,bachelor,urban,desktop,2.87,631.2,0
38.4,46821.74,0.141,0.544,41,53.65,full_time,high_school,suburban,mobile,0.95,634.8,0
49.7,91854.4,0.48,0.0,45,64.23,full_time,bachelor,rural,mobile,0.41,618.4,0
53.3,50494.19,0.357,0.548,50,77.34,full_time,bachelor,urban,desktop,0.41,570.0,0
59.3,29925.67,0.269,0.518,44,75.71,full_time,master,urban,mobile,1.25,581.4,0
51.3,39377.53,0.447,0.119,40,137.79,full_time,high_school,urban,desktop,2.83,607.1,0
32.6,123523.91,0.359,0.452,45,80.02,full_time,high_school,urban,mobile,1.47,598.6,0
55.5,11553.04,0.7,0.65,42,100.6,full_time,master,rural,tablet,6.16,446.3,0
46.8,18104.4,0.385,0.292,51,143.67,full_time,high_school,suburban,mobile,11.91,555.7,0
60.3,38726.55,0.35,0.363,34,133.31,full_time,master,suburban,mobile,6.54,571.9,0
46.0,16780.86,0.149,0.328,39,70.38,full_time,master,suburban,desktop,2.23,627.4,0
58.0,70011.88,0.582,0.29,48,114.79,contract,high_school,urban,desktop,0.37,577.3,0
38.7,44669.51,0.306,0.14,45,71.65,full_time,high_school,urban,desktop,1.27,627.1,1
54.1,60879.81,0.485,0.71,40,61.87,full_time,high_school,urban,mobile,0.81,501.7,0
46.9,50384.5,0.045,0.295,35,45.02,full_time,high_school,urban,mobile,0.95,663.4,0
44.3,27176.24,0.447,0.453,30,103.32,self_employed,bachelor,rural,desktop,4.09,565.8,0
32.7,64926.57,0.086,0.508,34,103.69,self_employed,bachelor,urban,mobile,3.95,627.1,0
48.5,28970.59,0.793,0.473,54,87.26,full_time,master,suburban,mobile,0.09,476.2,0
52.5,22096.4,0.868,0.417,76,149.16,contract,bachelor,suburban,tablet,2.09,445.0,1
46.6,53244.32,0.225,0.433,40,59.85,unemployed,master,urban,desktop,5.54,598.0,0
60.6,26921.03,0.596,0.248,39,51.16,contract,high_school,urban,desktop,1.51,555.2,0
52.4,41172.18,0.387,0.375,39,82.89,self_employed,master,rural,desktop,0.61,583.2,0
31.9,24598.36,0.345,0.532,36,79.31,full_time,master,rural,mobile,0.53,593.0,0
47.3,27958.81,0.315,0.342,30,67.64,contract,bachelor,urban,mobile,2.77,576.6,0
61.1,31124.0,0.041,0.253,41,71.96,full_time,master,urban,tablet,2.19,674.6,0
43.4,34409.65,0.159,0.313,42,87.13,contract,master,rural,mobile,1.51,654.1,0
33.9,18855.78,0.471,0.297,41,144.18,full_time,bachelor,urban,desktop,0.87,579.3,0
56.6,18903.69,0.239,0.226,40,175.44,full_time,bachelor,urban,mobile,3.15,647.1,0
41.0,53880.03,0.314,0.0,43,88.18,contract,bachelor,urban,tablet,4.84,632.7,0
40.9,76172.4,0.484,0.399,39,90.53,full_time,high_school,urban,mobile,1.37,567.5,0
61.6,33369.07,0.369,0.158,31,62.83,contract,master,rural,mobile,10.34,656.4,0
40.8,29770.56,0.286,0.302,47,110.71,full_time,bachelor,urban,desktop,2.49,641.3,0
49.8,93454.02,0.275,0.469,40,125.02,full_time,bachelor,rural,mobile,1.6,591.6,1
32.5,26581.36,0.205,0.441,51,110.86,self_employed,high_school,urban,mobile,2.64,587.1,0
51.6,107194.66,0.425,0.521,44,117.58,self_employed,master,suburban,mobile,1.72,544.3,0
62.0,26202.53,0.495,0.364,45,105.06,full_time,bachelor,urban,mobile,0.35,577.8,0
68.2,55524.0,0.315,0.0,51,71.25,full_time,high_school,suburban,mobile,4.53,659.7,0
41.4,40528.91,0.237,0.439,48,132.56,unemployed,bachelor,rural,mobile,3.62,582.5,0
34.1,51524.53,0.215,0.308,40,90.84,full_time,master,urban,mobile,1.4,624.7,0
39.5,38016.52,0.06,0.468,43,70.95,self_employed,high_school,urban,mobile,5.44,601.5,0
41.8,29733.71,0.728,0.787,57,146.08,full_time,high_school,rural,desktop,4.2,481.0,1
48.4,60387.27,0.276,0.619,33,166.21,full_time,phd,urban,mobile,1.65,527.7,0
19.8,77795.83,0.333,0.66,44,92.07,contract,high_school,urban,tablet,0.96,542.6,0
50.0,39570.45,0.531,0.0,49,130.14,contract,phd,rural,mobile,1.29,612.9,0
54.1,58736.22,0.199,0.394,54,137.59,self_employed,high_school,rural,mobile,0.45,592.1,0
63.0,30248.47,0.334,0.244,38,86.58,full_time,high_school,suburban,mobile,1.3,579.5,0
23.1,45503.3,0.218,0.107,33,124.34,contract,bachelor,urban,desktop,1.23,695.2,0
39.7,88708.67,0.528,0.296,35,67.96,full_time,bachelor,suburban,desktop,1.0,541.6,0
46.3,42622.82,0.48,0.318,47,84.91,contract,bachelor,suburban,mobile,4.06,534.5,0
52.4,18918.59,0.372,0.248,47,60.38,full_time,bachelor,urban,mobile,1.07,647.2,0
55.4,56029.15,0.28,0.392,54,102.37,full_time,bachelor,rural,mobile,0.17,578.7,0
42.3,96647.45,0.148,0.404,34,120.56,full_time,bachelor,urban,mobile,0.66,645.4,0
64.4,46054.88,0.1,0.655,33,137.23,full_time,bachelor,rural,tablet,1.69,581.6,1
